Book_no,Book,Arjun_total,Karna_total
1,ADI PARVA,483,150
2,SABHA PARVA,126,37
3,VANA PARVA,473,188
4,VIRATA PARVA,413,63
5,UDYOGA PARVA,338,172
6,BHISHMA PARVA,639,51
7,DRONA PARVA,1511,971
8,KARNA-PARVA,1006,1256
9,SHALYA-PARVA,154,68
10,SAUPTIKA-PARVA,26,5
11,STRI-PARVA,22,28
12,SANTI PARVA,112,82
13,ANUSASANA PARVA,50,22
14,ASWAMEDHA PARVA,263,19
15,ASRAMAVASIKA PARVA,35,17
16,MAUSALA-PARVA,47,0
17,MAHAPRASTHANIKA PARVA,14,0
18,SVARGAROHANIKA-PARVA,5,12
